"","StationID","species","min.year","max.year","b.linear","SE.b.linear","pval.lin","AIC.linear","nobs.linear","r2.lin","best_linear","b.poly","SE.b.poly","pval.b.poly","c.poly","SE.c.poly","pval.c.poly","AIC.poly","nobs.poly","r2.poly","best_poly","vote","UCI","MOSout","UDI","organism.group","measure","transformation","Phylum.x","Class.x","Order.x","Family.x","Genus.x","Phylum.y","Class.y","Order.y","Family.y","Genus.y"
"1","170","Linyphiidae_species",2017,2023,0.0862759212846587,0.0771806940413889,0.314446771449983,10.9727823540048,7,0.0399345051986971,"lm",0.456529263704456,0.352916041049643,0.26545036511298,0.579449226817166,0.352916041049643,0.175957271958288,9.36647762785432,7,0.283084008011181,"lm","no","170 Linyphiidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,"Arthropoda","Arachnida","Araneae","Linyphiidae",NA
"2","170","Philoscia_muscorum",2017,2023,NA,NA,NA,NA,NA,NA,"No best model",-1.90938541055776,1.16420752473188,0.100989974742304,-0.791922250305613,1.15353216643768,0.492385613432159,56.6495708598987,7,NA,"negative binomial","no","170 Philoscia_muscorum",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Philosciidae","Philoscia","Arthropoda","Malacostraca","Isopoda","Philosciidae","Philoscia"
"3","170","Porcellio_scaber",2017,2023,0.069811646073945,0.201214290208132,0.742753133243413,24.3878779223179,7,-0.171789060509679,"lm",0.369408508255438,1.142025170843,0.762546043141558,0.67180407738949,1.142025170843,0.58797013925869,25.8070730774477,7,-0.348109341501698,"lm","no","170 Porcellio_scaber",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio"
"4","170","Staphylinidae_species",2017,2023,-0.0570429776702026,0.0331856829257628,0.146268691404304,-0.84364888568518,7,0.245722143723787,"lm",-0.301843065915949,0.148607026906838,0.11206603083296,0.256601526477497,0.148607026906838,0.159294056078699,-2.74246909658896,7,0.459805075756181,"lm","no","170 Staphylinidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Insecta","Coleoptera","Staphylinidae",NA,"Arthropoda","Insecta","Coleoptera","Staphylinidae",NA
"5","185","Linyphiidae_species",2017,2023,-0.0171669505787498,0.0800509033572172,0.838667542060457,11.4839696140717,7,-0.189063237351135,"lm",-0.0908389640015095,0.412514721152233,0.836491644831673,0.465260160871178,0.412514721152233,0.322448402688231,11.5510615424837,7,-0.12769940024943,"lm","no","185 Linyphiidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,"Arthropoda","Arachnida","Araneae","Linyphiidae",NA
"6","185","Philoscia_muscorum",2017,2023,-0.0406940815424454,0.0823956534256108,0.642315471650309,11.8881490756849,7,-0.144181419959607,"lm",-0.215332839186968,0.483479586246996,0.679085741708154,-0.124322472669963,0.483479586246995,0.809755517277305,13.7733823485058,7,-0.406969033266063,"lm","no","185 Philoscia_muscorum",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Philosciidae","Philoscia","Arthropoda","Malacostraca","Isopoda","Philosciidae","Philoscia"
"7","185","Porcellio_scaber",2017,2023,0.0711951463745573,0.148272491489424,0.651381020341292,20.1134158286896,7,-0.147105215279691,"lm",0.376729303723629,0.874047636461153,0.688667434159761,0.148409431416362,0.874047636461153,0.873412455897894,22.0631433373928,7,-0.423620581098341,"lm","no","185 Porcellio_scaber",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio"
"8","185","Staphylinidae_species",2017,2023,-0.00668544596529549,0.055133240776355,0.908207717403347,6.26323088589475,7,-0.196481401840821,"lm",-0.0353760548555164,0.325452506563864,0.918676508758784,-0.0433250190510599,0.325452506563864,0.900525108042807,8.23228662917141,7,-0.489004874923129,"lm","no","185 Staphylinidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Insecta","Coleoptera","Staphylinidae",NA,"Arthropoda","Insecta","Coleoptera","Staphylinidae",NA
"9","200","Linyphiidae_species",2017,2023,0.186012147901055,0.0765258693519156,0.0593287785628083,10.8534953058393,7,0.449962545241545,"lm",0.984283768366332,0.431986028439947,0.0849262036671032,-0.270964020010748,0.431986028439947,0.564519130351875,12.1967604896243,7,0.374024854070682,"lm","positive linear","200 Linyphiidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,"Arthropoda","Arachnida","Araneae","Linyphiidae",NA
"10","200","Porcellio_scaber",2017,2023,0.0335573992310956,0.0967249879353325,0.742764115508993,14.1328963359605,7,-0.171791527457762,"lm",0.177569066023075,0.57093502399448,0.771323481016534,0.0770328128655118,0.57093502399448,0.899188991186318,16.1011107811368,7,-0.458103407824023,"lm","no","200 Porcellio_scaber",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio"
