"","species","UCI","StationID","b.linear","SE.b.linear","pval.lin","AIC.linear","nobs.linear","r2.lin","min.year","max.year","b.poly","SE.b.poly","pval.b.poly","c.poly","SE.c.poly","pval.c.poly","AIC.poly","nobs.poly","r2.poly","pval.poly","vote","MOSout","UDI","organism.group","measure","Phylum","Class","Order","Family","Genus","origin","enter","DOI","lat","long"
"1","Actinocyclus octonarius","HUIBGOT Actinocyclus octonarius","HUIBGOT",0.0585564764212611,0.0512855739372889,0.272701673361996,51.7674169460014,16,0.0198413683908325,2000,2018,1.23446927056334,1.05971241845359,0.264986926663292,-1.32914282674504,1.05971241845359,0.231835587401806,51.9397254011024,16,0.0583895272729095,0.266809892027797,"no",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Hemidiscaceae","Actinocyclus","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"2","Actinoptychus senarius","BOCHTVWTM Actinoptychus senarius","BOCHTVWTM",-0.0305315937647991,0.0459242530414344,0.522830788808051,19.977936432258,11,-0.0590985074133881,2007,2018,-0.335721344096141,0.514799533288802,0.532596324757368,-0.418171329035318,0.514799533288802,0.440119959947119,21.1061470715433,11,-0.100701318564239,0.60122619591414,"no",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"3","Actinoptychus senarius","HUIBGOT Actinoptychus senarius","HUIBGOT",0.00731985671663617,0.0436099807425124,0.868683317722049,59.339636979378,19,-0.0570717117536381,2000,2018,0.174759183852075,0.95803558588248,0.857548989699642,-1.93479245197892,0.95803558588248,0.0605064338369436,57.0254358641009,19,0.10500401395165,0.160453250996878,"no",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"4","Actinoptychus senarius","Nney_W_2 Actinoptychus senarius","Nney_W_2",-0.0701007361156335,0.0326980618115951,0.0467955926038972,50.9535910715777,19,0.166520941668686,1999,2018,-1.79011705875673,0.787420965357529,0.0371348861716713,1.38996770962799,0.787420965357529,0.0966024178428841,49.5728029389242,19,0.258780367727597,0.0355103644966837,"negative to positive",TRUE,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","NLWKN","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"5","Actinoptychus senarius","JaBu_W_1 Actinoptychus senarius","JaBu_W_1",-0.000620677956797441,0.0414286828984241,0.988258079209191,46.1336344591613,16,-0.0714113939816317,2000,2018,-0.0135833140952297,0.90599352467174,0.988265636113745,0.915166864549596,0.905993524671741,0.33086771222507,46.9246633820613,16,-0.0698560630483935,0.6118618784479,"no",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","NLWKN","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"6","Actinoptychus senarius","MARSDND Actinoptychus senarius","MARSDND",0.0390308222757203,0.0579556984851607,0.510266922722886,66.3498692562111,18,-0.0332118127082401,2000,2018,0.924050080652733,1.38197856730635,0.513882499132701,-1.21421244398708,1.38197856730635,0.393472642974586,67.4465829765748,18,-0.0481515302178144,0.556542171070167,"no",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"7","Actinoptychus senarius","GROOTGND Actinoptychus senarius","GROOTGND",-0.00282467888355944,0.0371288925678299,0.940245477396166,53.2257942427635,19,-0.0584631657404369,2000,2018,-0.0674382840327298,0.910265511144026,0.941859988246645,0.31758758643034,0.910265511144026,0.731716764010251,55.0817892216498,19,-0.116125622537008,0.938608420539887,"no",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"8","Actinoptychus senarius","Bork_W_1 Actinoptychus senarius","Bork_W_1",0.0713059328819029,0.101559307688492,0.498625628991966,42.5301055438873,12,-0.0483219012210616,2007,2018,0.8526949379319,1.27809981967966,0.521407134144671,0.218143570130538,1.27809981967966,0.868252347069709,44.4913269451908,12,-0.161044071746276,0.793676247300616,"no",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","NLWKN","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"9","Actinoptychus senarius","WeMu_W_1 Actinoptychus senarius","WeMu_W_1",-0.139246481586327,0.0712698759503994,0.0792484338739818,34.0300447658223,12,0.20389664690024,2007,2018,-1.66514573436857,0.881356593162634,0.0914386316680963,-0.521948429365535,0.881356593162634,0.568287303179107,35.5713085181297,12,0.148617487903221,0.196510369818214,"negative linear",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","NLWKN","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"10","Actinoptychus senarius","ROTTMPT3 Actinoptychus senarius","ROTTMPT3",0.0292255425913943,0.0564646935732048,0.61182665194604,62.7887760855279,18,-0.0450027948511216,2000,2017,0.643293959721649,1.22256786512064,0.606454444883797,-1.5150317845851,1.22256786512064,0.234303875435645,63.0343235248961,18,-0.0111501995628722,0.425045156740687,"no",NA,"HLH001","phytoplankton","biomass","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
